"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2005","2005",640979,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2006","2006",596168,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2007","2007",650808,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2008","2008",762551.225,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2009","2009",817143.0535,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2010","2010",840352,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2011","2011",848634,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR413TUR","Harvest Losses - Fruits nuts and beverage crops","SOURCE84","TURKSTAT","2012","2012",882095,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2007","2007",670061.717,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2008","2008",717587.84,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2009","2009",707312.107,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2010","2010",678541.658,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2011","2011",720826.217,,
"TUR","Turkey","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR414TUR","Harvest Losses - Vegetables","SOURCE84","TURKSTAT","2012","2012",740843.037,,
"CHN","China (People's Republic of)","FLFW","1. Food loss - Food waste","AGRICULTURALPRODUCTION","Agricultural production","PCT","%","FWVAR155CHN","Food Loss from harvest (e.)","SOURCE54","Lundqvist & al.","2013","2013",3.5,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",9478,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",9500,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",10080,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",14633,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2004","2004",321678,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2006","2006",302710,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2008","2008",318254,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2010","2010",324633,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2004","2004",9478,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2006","2006",9500,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2008","2008",10080,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",12145,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",2488,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",2,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2004","2004",39,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2006","2006",37,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2008","2008",38,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2010","2010",39,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2004","2004",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2006","2006",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR6","Animal and vegetal waste (with exclusions)","SOURCE30","EUROSTAT","2008","2008",1,,
"AUT","Austria","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",1,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",262531,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",123681,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",150884,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",41638,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",7792,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",15866,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",11229,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",7804,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",33846,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",26,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",12,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",15,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",4,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",1,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",2,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",1,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",1,,
"CZE","Czech Republic","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",3,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",373,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",1049,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",2147,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2010","2010",9441,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR10","Animal waste","SOURCE30","EUROSTAT","2010","2010",1240,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",354,,
