food waste,PPP/capita,Country Name,,
21.8,2207.630748,Turks and Caicos Islands,Turks and Caicos Islands,HIC
70,1547.209325,Chad,Chad,LIC
38,16289.13286,Togo,Togo,LIC
65.52,2820.144309,Thailand,Thailand,UMC
16.18,7901.602648,Turkmenistan,Turkmenistan,UMC
43.6,5542.667725,Timor-Leste,Timor-Leste,LMC
51.3,33667.75032,Tonga,Tonga,UMC
27.15,11497.79223,Trinidad and Tobago,Trinidad and Tobago,HIC
68,25710.01612,Tunisia,Tunisia,LMC
64,3651.653953,Turkey,Turkey,UMC
43.6,2666.839967,Tuvalu,Tuvalu,UMC
74.5,7972.434896,Uganda,Uganda,LIC
37,21179.66318,Ukraine,Ukraine,LMC
53.5,56803.47061,Uruguay,Uruguay,HIC
14.9,6087.759799,United States,United States,HIC
40,11152.72034,Uzbekistan,Uzbekistan,LMC
46,5932.498479,Virgin Islands (U.S.),Virgin Islands (U.S.),HIC
61.9,2997.605947,Vietnam,Vietnam,LMC
73.4,5937.716296,Vanuatu,Vanuatu,LMC
42.6,9784.851881,Samoa,Samoa,UMC
42,3268.510399,Kosovo,Kosovo,LMC
65,13219.14141,"Yemen, Rep.","Yemen, Rep.",LIC
16.38165463,3873.793061,South Africa,South Africa,UMC
