Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Low,"Egypt, Arab Rep.",$PPP,Food and Beverages,25385.493161600
National,Low,"Egypt, Arab Rep.",Local Currency,Food and Beverages,79608.906554777
National,All,"Egypt, Arab Rep.",US$,Food and Beverages,29262.750943566
National,All,"Egypt, Arab Rep.",$PPP,Food and Beverages,52460.199555079
National,All,"Egypt, Arab Rep.",Local Currency,Food and Beverages,164515.185804729
Rural,Higher,"Egypt, Arab Rep.",US$,Food and Beverages,8.217516025
Rural,Higher,"Egypt, Arab Rep.",$PPP,Food and Beverages,14.731784149
Rural,Higher,"Egypt, Arab Rep.",Local Currency,Food and Beverages,46.198875091
Rural,Middle,"Egypt, Arab Rep.",US$,Food and Beverages,99.962582276
Rural,Middle,"Egypt, Arab Rep.",$PPP,Food and Beverages,179.205879322
Rural,Middle,"Egypt, Arab Rep.",Local Currency,Food and Beverages,561.989637555
Rural,Lowest,"Egypt, Arab Rep.",US$,Food and Beverages,8939.499806563
Rural,Lowest,"Egypt, Arab Rep.",$PPP,Food and Beverages,16026.105839444
Rural,Lowest,"Egypt, Arab Rep.",Local Currency,Food and Beverages,50257.867912497
Rural,Low,"Egypt, Arab Rep.",US$,Food and Beverages,5297.812102766
Rural,Low,"Egypt, Arab Rep.",$PPP,Food and Beverages,9497.544528620
Rural,Low,"Egypt, Arab Rep.",Local Currency,Food and Beverages,29784.299641752
Rural,All,"Egypt, Arab Rep.",US$,Food and Beverages,14345.492007467
Rural,All,"Egypt, Arab Rep.",$PPP,Food and Beverages,25717.588031243
Rural,All,"Egypt, Arab Rep.",Local Currency,Food and Beverages,80650.356065979
Urban,Higher,"Egypt, Arab Rep.",US$,Food and Beverages,342.165458431
Urban,Higher,"Egypt, Arab Rep.",$PPP,Food and Beverages,613.410142633
Urban,Higher,"Egypt, Arab Rep.",Local Currency,Food and Beverages,1923.654207297
Urban,Middle,"Egypt, Arab Rep.",US$,Food and Beverages,2085.538658179
Urban,Middle,"Egypt, Arab Rep.",$PPP,Food and Beverages,3738.806867437
Urban,Middle,"Egypt, Arab Rep.",Local Currency,Food and Beverages,11724.898336281
Urban,Lowest,"Egypt, Arab Rep.",US$,Food and Beverages,3627.120292285
Urban,Lowest,"Egypt, Arab Rep.",$PPP,Food and Beverages,6502.445881131
Urban,Lowest,"Egypt, Arab Rep.",Local Currency,Food and Beverages,20391.670283227
Urban,Low,"Egypt, Arab Rep.",US$,Food and Beverages,8862.434527484
Urban,Low,"Egypt, Arab Rep.",$PPP,Food and Beverages,15887.948633137
Urban,Low,"Egypt, Arab Rep.",Local Currency,Food and Beverages,49824.606913517
Urban,All,"Egypt, Arab Rep.",US$,Food and Beverages,14917.258936187
Urban,All,"Egypt, Arab Rep.",$PPP,Food and Beverages,26742.611523993
Urban,All,"Egypt, Arab Rep.",Local Currency,Food and Beverages,83864.829739242
National,Higher,El Salvador,US$,Food and Beverages,434.485086485
National,Higher,El Salvador,$PPP,Food and Beverages,742.709549547
National,Higher,El Salvador,Local Currency,Food and Beverages,434.485086485
National,Middle,El Salvador,US$,Food and Beverages,820.533815436
National,Middle,El Salvador,$PPP,Food and Beverages,1402.621906729
National,Middle,El Salvador,Local Currency,Food and Beverages,820.533815436
National,Lowest,El Salvador,US$,Food and Beverages,541.865861134
National,Lowest,El Salvador,$PPP,Food and Beverages,926.266429288
National,Lowest,El Salvador,Local Currency,Food and Beverages,541.865861134
National,Low,El Salvador,US$,Food and Beverages,1974.373733918
National,Low,El Salvador,$PPP,Food and Beverages,3374.997835758
National,Low,El Salvador,Local Currency,Food and Beverages,1974.373733918
National,All,El Salvador,US$,Food and Beverages,3771.258494910
National,All,El Salvador,$PPP,Food and Beverages,6446.595717795
National,All,El Salvador,Local Currency,Food and Beverages,3771.258494910
Rural,Higher,El Salvador,US$,Food and Beverages,136.254877501
Rural,Higher,El Salvador,$PPP,Food and Beverages,232.914320514
Rural,Higher,El Salvador,Local Currency,Food and Beverages,136.254877501
Rural,Middle,El Salvador,US$,Food and Beverages,149.062984969
Rural,Middle,El Salvador,$PPP,Food and Beverages,254.808521314
Rural,Middle,El Salvador,Local Currency,Food and Beverages,149.062984969
Rural,Lowest,El Salvador,US$,Food and Beverages,346.682883327
Rural,Lowest,El Salvador,$PPP,Food and Beverages,592.620313380
Rural,Lowest,El Salvador,Local Currency,Food and Beverages,346.682883327
Rural,Low,El Salvador,US$,Food and Beverages,567.421091667
Rural,Low,El Salvador,$PPP,Food and Beverages,969.950584046
Rural,Low,El Salvador,Local Currency,Food and Beverages,567.421091667
Rural,All,El Salvador,US$,Food and Beverages,1199.421834943
Rural,All,El Salvador,$PPP,Food and Beverages,2050.293734946
Rural,All,El Salvador,Local Currency,Food and Beverages,1199.421834943
Urban,Higher,El Salvador,US$,Food and Beverages,298.230209923
Urban,Higher,El Salvador,$PPP,Food and Beverages,509.795230638
Urban,Higher,El Salvador,Local Currency,Food and Beverages,298.230209923
Urban,Middle,El Salvador,US$,Food and Beverages,671.470831285
Urban,Middle,El Salvador,$PPP,Food and Beverages,1147.813386812
Urban,Middle,El Salvador,Local Currency,Food and Beverages,671.470831285
Urban,Lowest,El Salvador,US$,Food and Beverages,195.182978318
Urban,Lowest,El Salvador,$PPP,Food and Beverages,333.646116783
Urban,Lowest,El Salvador,Local Currency,Food and Beverages,195.182978318
Urban,Low,El Salvador,US$,Food and Beverages,1406.952643020
Urban,Low,El Salvador,$PPP,Food and Beverages,2405.047253026
Urban,Low,El Salvador,Local Currency,Food and Beverages,1406.952643020
Urban,All,El Salvador,US$,Food and Beverages,2571.836660705
Urban,All,El Salvador,$PPP,Food and Beverages,4396.301984111
Urban,All,El Salvador,Local Currency,Food and Beverages,2571.836660705
National,Higher,Ethiopia,US$,Food and Beverages,21.977476133
National,Higher,Ethiopia,$PPP,Food and Beverages,57.633381452
National,Higher,Ethiopia,Local Currency,Food and Beverages,316.695431079
National,Middle,Ethiopia,US$,Food and Beverages,352.498869623
National,Middle,Ethiopia,$PPP,Food and Beverages,924.387390586
National,Middle,Ethiopia,Local Currency,Food and Beverages,5079.508711270
National,Lowest,Ethiopia,US$,Food and Beverages,11466.669418182
National,Lowest,Ethiopia,$PPP,Food and Beverages,30070.010248591
National,Lowest,Ethiopia,Local Currency,Food and Beverages,165234.706316008
National,Low,Ethiopia,US$,Food and Beverages,8796.414417226
National,Low,Ethiopia,$PPP,Food and Beverages,23067.576297038
National,Low,Ethiopia,Local Currency,Food and Beverages,126756.331752226
National,All,Ethiopia,US$,Food and Beverages,20637.560181091
National,All,Ethiopia,$PPP,Food and Beverages,54119.607317474
National,All,Ethiopia,Local Currency,Food and Beverages,297387.242209518
Rural,Higher,Ethiopia,US$,Food and Beverages,1.592689288
Rural,Higher,Ethiopia,$PPP,Food and Beverages,4.176642882
Rural,Higher,Ethiopia,Local Currency,Food and Beverages,22.950652637
Rural,Middle,Ethiopia,US$,Food and Beverages,54.562481393
Rural,Middle,Ethiopia,$PPP,Food and Beverages,143.083777412
Rural,Middle,Ethiopia,Local Currency,Food and Beverages,786.245356879
Rural,Lowest,Ethiopia,US$,Food and Beverages,10174.297482065
Rural,Lowest,Ethiopia,$PPP,Food and Beverages,26680.914780084
Rural,Lowest,Ethiopia,Local Currency,Food and Beverages,146611.62671656
Rural,Low,Ethiopia,US$,Food and Beverages,6563.462225113
Rural,Low,Ethiopia,$PPP,Food and Beverages,17211.918228185
Rural,Low,Ethiopia,Local Currency,Food and Beverages,94579.490663879
Rural,All,Ethiopia,US$,Food and Beverages,16793.914877787
Rural,All,Ethiopia,$PPP,Food and Beverages,44040.093428372
Rural,All,Ethiopia,Local Currency,Food and Beverages,242000.313388906
Urban,Higher,Ethiopia,US$,Food and Beverages,20.384786854
Urban,Higher,Ethiopia,$PPP,Food and Beverages,53.456738593
Urban,Higher,Ethiopia,Local Currency,Food and Beverages,293.744778567
Urban,Middle,Ethiopia,US$,Food and Beverages,297.936388253
Urban,Middle,Ethiopia,$PPP,Food and Beverages,781.303613234
Urban,Middle,Ethiopia,Local Currency,Food and Beverages,4293.263354719
Urban,Lowest,Ethiopia,US$,Food and Beverages,1292.371936159
Urban,Lowest,Ethiopia,$PPP,Food and Beverages,3389.095468618
Urban,Lowest,Ethiopia,Local Currency,Food and Beverages,18623.079600053
Urban,Low,Ethiopia,US$,Food and Beverages,2232.952192149
Urban,Low,Ethiopia,$PPP,Food and Beverages,5855.658068948
Urban,Low,Ethiopia,Local Currency,Food and Beverages,32176.841088868
Urban,All,Ethiopia,US$,Food and Beverages,3843.645303341
Urban,All,Ethiopia,$PPP,Food and Beverages,10079.513889197
Urban,All,Ethiopia,Local Currency,Food and Beverages,55386.928821138
National,Higher,Fiji,US$,Food and Beverages,12.490552849
National,Higher,Fiji,$PPP,Food and Beverages,13.642870367
National,Higher,Fiji,Local Currency,Food and Beverages,23.956880364
National,Middle,Fiji,US$,Food and Beverages,117.752671789
National,Middle,Fiji,$PPP,Food and Beverages,128.615959278
National,Middle,Fiji,Local Currency,Food and Beverages,225.849624492
National,Lowest,Fiji,US$,Food and Beverages,110.485996987
National,Lowest,Fiji,$PPP,Food and Beverages,120.678896482
National,Lowest,Fiji,Local Currency,Food and Beverages,211.912142222
National,Low,Fiji,US$,Food and Beverages,248.249491250
National,Low,Fiji,$PPP,Food and Beverages,271.151779167
National,Low,Fiji,Local Currency,Food and Beverages,476.142524217
National,All,Fiji,US$,Food and Beverages,488.978712398
National,All,Fiji,$PPP,Food and Beverages,534.089504772
National,All,Fiji,Local Currency,Food and Beverages,937.861170380
Rural,Higher,Fiji,US$,Food and Beverages,0.760183693
Rural,Higher,Fiji,$PPP,Food and Beverages,0.830314535
Rural,Higher,Fiji,Local Currency,Food and Beverages,1.458032323
Rural,Middle,Fiji,US$,Food and Beverages,20.339775434
Rural,Middle,Fiji,$PPP,Food and Beverages,22.216223965
Rural,Middle,Fiji,Local Currency,Food and Beverages,39.011689282
Rural,Lowest,Fiji,US$,Food and Beverages,68.916784484
Rural,Lowest,Fiji,$PPP,Food and Beverages,75.274711071
Rural,Lowest,Fiji,Local Currency,Food and Beverages,132.182392641
Rural,Low,Fiji,US$,Food and Beverages,84.351130226
Rural,Low,Fiji,$PPP,Food and Beverages,92.132954312
Rural,Low,Fiji,Local Currency,Food and Beverages,161.785467773
Rural,All,Fiji,US$,Food and Beverages,174.367873376
Rural,All,Fiji,$PPP,Food and Beverages,190.454203379
Rural,All,Fiji,Local Currency,Food and Beverages,334.437581134
Urban,Higher,Fiji,US$,Food and Beverages,11.730369244
Urban,Higher,Fiji,$PPP,Food and Beverages,12.812555928
Urban,Higher,Fiji,Local Currency,Food and Beverages,22.498848209
Urban,Middle,Fiji,US$,Food and Beverages,97.412896498
Urban,Middle,Fiji,$PPP,Food and Beverages,106.399735468
Urban,Middle,Fiji,Local Currency,Food and Beverages,186.837935482
Urban,Lowest,Fiji,US$,Food and Beverages,41.569212737
Urban,Lowest,Fiji,$PPP,Food and Beverages,45.404185666
Urban,Lowest,Fiji,Local Currency,Food and Beverages,79.729750029
Urban,Low,Fiji,US$,Food and Beverages,163.898361218
Urban,Low,Fiji,$PPP,Food and Beverages,179.018825066
Urban,Low,Fiji,Local Currency,Food and Beverages,314.357056816
Urban,All,Fiji,US$,Food and Beverages,314.610839212
Urban,All,Fiji,$PPP,Food and Beverages,343.635301599
Urban,All,Fiji,Local Currency,Food and Beverages,603.423589608
National,Higher,Gabon,US$,Food and Beverages,71.987828104
National,Higher,Gabon,$PPP,Food and Beverages,79.617155088
National,Higher,Gabon,Local Currency,Food and Beverages,35653.915540069
National,Middle,Gabon,US$,Food and Beverages,399.361162358
National,Middle,Gabon,$PPP,Food and Beverages,441.685774344
National,Middle,Gabon,Local Currency,Food and Beverages,197794.398409375
National,Lowest,Gabon,US$,Food and Beverages,153.875378671
National,Lowest,Gabon,$PPP,Food and Beverages,170.183213058
National,Lowest,Gabon,Local Currency,Food and Beverages,76210.935921862
National,Low,Gabon,US$,Food and Beverages,683.207775471
National,Low,Gabon,$PPP,Food and Beverages,755.614676111
National,Low,Gabon,Local Currency,Food and Beverages,338377.097412139
National,All,Gabon,US$,Food and Beverages,1308.432144603
National,All,Gabon,$PPP,Food and Beverages,1447.100818599
National,All,Gabon,Local Currency,Food and Beverages,648036.347282334
Rural,Higher,Gabon,US$,Food and Beverages,0.941758305
Rural,Higher,Gabon,$PPP,Food and Beverages,1.041566596
Rural,Higher,Gabon,Local Currency,Food and Beverages,466.431228140
Rural,Middle,Gabon,US$,Food and Beverages,42.894356492
Rural,Middle,Gabon,$PPP,Food and Beverages,47.440334334
Rural,Middle,Gabon,Local Currency,Food and Beverages,21244.588200240
Rural,Lowest,Gabon,US$,Food and Beverages,42.448584507
Rural,Lowest,Gabon,$PPP,Food and Beverages,46.947319081
Rural,Lowest,Gabon,Local Currency,Food and Beverages,21023.807588844
Rural,Low,Gabon,US$,Food and Beverages,103.242028563
Rural,Low,Gabon,$PPP,Food and Beverages,114.183700441
Rural,Low,Gabon,Local Currency,Food and Beverages,51133.402180357
Rural,All,Gabon,US$,Food and Beverages,189.526727864
Rural,All,Gabon,$PPP,Food and Beverages,209.612920448
Rural,All,Gabon,Local Currency,Food and Beverages,93868.229196174
Urban,Higher,Gabon,US$,Food and Beverages,71.046069800
Urban,Higher,Gabon,$PPP,Food and Beverages,78.575588493
Urban,Higher,Gabon,Local Currency,Food and Beverages,35187.484312155
Urban,Middle,Gabon,US$,Food and Beverages,356.466805868
Urban,Middle,Gabon,$PPP,Food and Beverages,394.245440012
Urban,Middle,Gabon,Local Currency,Food and Beverages,176549.810209656
Urban,Lowest,Gabon,US$,Food and Beverages,111.426794165
Urban,Lowest,Gabon,$PPP,Food and Beverages,123.235893978
Urban,Lowest,Gabon,Local Currency,Food and Beverages,55187.128333624
Urban,Low,Gabon,US$,Food and Beverages,579.965746910
Urban,Low,Gabon,$PPP,Food and Beverages,641.430975672
Urban,Low,Gabon,Local Currency,Food and Beverages,287243.695232347
Urban,All,Gabon,US$,Food and Beverages,1118.905416740
Urban,All,Gabon,$PPP,Food and Beverages,1237.487898152
Urban,All,Gabon,Local Currency,Food and Beverages,554168.118086718
National,Higher,"Gambia, The",US$,Food and Beverages,0.901485601
National,Higher,"Gambia, The",$PPP,Food and Beverages,2.209503427
National,Higher,"Gambia, The",Local Currency,Food and Beverages,25.252414666
National,Middle,"Gambia, The",US$,Food and Beverages,68.299254099
National,Middle,"Gambia, The",$PPP,Food and Beverages,167.398609311
National,Middle,"Gambia, The",Local Currency,Food and Beverages,1913.198705816
National,Lowest,"Gambia, The",US$,Food and Beverages,175.571479298
National,Lowest,"Gambia, The",$PPP,Food and Beverages,430.318337396
National,Lowest,"Gambia, The",Local Currency,Food and Beverages,4918.108278095
National,Low,"Gambia, The",US$,Food and Beverages,237.330836237
National,Low,"Gambia, The",$PPP,Food and Beverages,581.687932861
National,Low,"Gambia, The",Local Currency,Food and Beverages,6648.111384667
National,All,"Gambia, The",US$,Food and Beverages,482.103055188
National,All,"Gambia, The",$PPP,Food and Beverages,1181.614382880
National,All,"Gambia, The",Local Currency,Food and Beverages,13504.670781937
Rural,Higher,"Gambia, The",US$,Food and Beverages,0
Rural,Higher,"Gambia, The",$PPP,Food and Beverages,0
Rural,Higher,"Gambia, The",Local Currency,Food and Beverages,0
Rural,Middle,"Gambia, The",US$,Food and Beverages,4.858079118
Rural,Middle,"Gambia, The",$PPP,Food and Beverages,11.906948312
Rural,Middle,"Gambia, The",Local Currency,Food and Beverages,136.084512254
Rural,Lowest,"Gambia, The",US$,Food and Beverages,76.133025935
Rural,Lowest,"Gambia, The",$PPP,Food and Beverages,186.598855760
Rural,Lowest,"Gambia, The",Local Currency,Food and Beverages,2132.638322487
Rural,Low,"Gambia, The",US$,Food and Beverages,64.819860131
Rural,Low,"Gambia, The",$PPP,Food and Beverages,158.870760521
Rural,Low,"Gambia, The",Local Currency,Food and Beverages,1815.733921992
Rural,All,"Gambia, The",US$,Food and Beverages,145.810965146
Rural,All,"Gambia, The",$PPP,Food and Beverages,357.376564499
Rural,All,"Gambia, The",Local Currency,Food and Beverages,4084.456755657
Urban,Higher,"Gambia, The",US$,Food and Beverages,0.901485601
Urban,Higher,"Gambia, The",$PPP,Food and Beverages,2.209503427
Urban,Higher,"Gambia, The",Local Currency,Food and Beverages,25.252414666
Urban,Middle,"Gambia, The",US$,Food and Beverages,63.441174998
Urban,Middle,"Gambia, The",$PPP,Food and Beverages,155.491661042
Urban,Middle,"Gambia, The",Local Currency,Food and Beverages,1777.114194045
Urban,Lowest,"Gambia, The",US$,Food and Beverages,99.438453385
Urban,Lowest,"Gambia, The",$PPP,Food and Beverages,243.719481688
Urban,Lowest,"Gambia, The",Local Currency,Food and Beverages,2785.469956218
Urban,Low,"Gambia, The",US$,Food and Beverages,172.510976127
Urban,Low,"Gambia, The",$PPP,Food and Beverages,422.817172393
Urban,Low,"Gambia, The",Local Currency,Food and Beverages,4832.377463276
Urban,All,"Gambia, The",US$,Food and Beverages,336.292090064
Urban,All,"Gambia, The",$PPP,Food and Beverages,824.237818432
Urban,All,"Gambia, The",Local Currency,Food and Beverages,9420.214026865
National,Higher,Ghana,US$,Food and Beverages,70.331697740
National,Higher,Ghana,$PPP,Food and Beverages,132.951994011
National,Higher,Ghana,Local Currency,Food and Beverages,100.644659466
National,Middle,Ghana,US$,Food and Beverages,1279.598989585
National,Middle,Ghana,$PPP,Food and Beverages,2418.898486257
National,Middle,Ghana,Local Currency,Food and Beverages,1831.106154096
National,Lowest,Ghana,US$,Food and Beverages,3102.196333966
National,Lowest,Ghana,$PPP,Food and Beverages,5864.257534882
National,Lowest,Ghana,Local Currency,Food and Beverages,4439.242953905
National,Low,Ghana,US$,Food and Beverages,4345.268655383
National,Low,Ghana,$PPP,Food and Beverages,8214.107590296
National,Low,Ghana,Local Currency,Food and Beverages,6218.079445854
National,All,Ghana,US$,Food and Beverages,8797.395675860
National,All,Ghana,$PPP,Food and Beverages,16630.215603904
National,All,Ghana,Local Currency,Food and Beverages,12589.073212156
Rural,Higher,Ghana,US$,Food and Beverages,1.328832455
Rural,Higher,Ghana,$PPP,Food and Beverages,2.511967296
Rural,Higher,Ghana,Local Currency,Food and Beverages,1.901559243
Rural,Middle,Ghana,US$,Food and Beverages,120.060023027
Rural,Middle,Ghana,$PPP,Food and Beverages,226.956265457
Rural,Middle,Ghana,Local Currency,Food and Beverages,171.805892951
Rural,Lowest,Ghana,US$,Food and Beverages,2010.884659370
Rural,Lowest,Ghana,$PPP,Food and Beverages,3801.289230592
Rural,Lowest,Ghana,Local Currency,Food and Beverages,2877.575947558
Rural,Low,Ghana,US$,Food and Beverages,1172.526896634
Rural,Low,Ghana,$PPP,Food and Beverages,2216.494041061
Rural,Low,Ghana,Local Currency,Food and Beverages,1677.885989083
Rural,All,Ghana,US$,Food and Beverages,3304.800410660
Rural,All,Ghana,$PPP,Food and Beverages,6247.251502847
Rural,All,Ghana,Local Currency,Food and Beverages,4729.169387655
Urban,Higher,Ghana,US$,Food and Beverages,69.002865397
Urban,Higher,Ghana,$PPP,Food and Beverages,130.440026927
Urban,Higher,Ghana,Local Currency,Food and Beverages,98.743100384
Urban,Middle,Ghana,US$,Food and Beverages,1159.538966842
Urban,Middle,Ghana,$PPP,Food and Beverages,2191.942221336
Urban,Middle,Ghana,Local Currency,Food and Beverages,1659.300261552
Urban,Lowest,Ghana,US$,Food and Beverages,1091.311674991
Urban,Lowest,Ghana,$PPP,Food and Beverages,2062.968305036
Urban,Lowest,Ghana,Local Currency,Food and Beverages,1561.667006912
Urban,Low,Ghana,US$,Food and Beverages,3172.741759140
Urban,Low,Ghana,$PPP,Food and Beverages,5997.613549972
Urban,Low,Ghana,Local Currency,Food and Beverages,4540.193457329
Urban,All,Ghana,US$,Food and Beverages,5492.595265587
Urban,All,Ghana,$PPP,Food and Beverages,10382.964101790
Urban,All,Ghana,Local Currency,Food and Beverages,7859.903825055
National,Higher,Guatemala,US$,Food and Beverages,1304.848102816
National,Higher,Guatemala,$PPP,Food and Beverages,1928.198425178
National,Higher,Guatemala,Local Currency,Food and Beverages,10514.466012493
National,Middle,Guatemala,US$,Food and Beverages,2943.962572815
National,Middle,Guatemala,$PPP,Food and Beverages,4350.348507564
National,Middle,Guatemala,Local Currency,Food and Beverages,23722.450411747
National,Lowest,Guatemala,US$,Food and Beverages,1561.990860040
National,Lowest,Guatemala,$PPP,Food and Beverages,2308.183082744
National,Lowest,Guatemala,Local Currency,Food and Beverages,12586.522350204
National,Low,Guatemala,US$,Food and Beverages,4093.248101516
National,Low,Guatemala,$PPP,Food and Beverages,6048.669209978
National,Low,Guatemala,Local Currency,Food and Beverages,32983.393202013
National,All,Guatemala,US$,Food and Beverages,9904.049637038
National,All,Guatemala,$PPP,Food and Beverages,14635.399225243
National,All,Guatemala,Local Currency,Food and Beverages,79806.831975250
Rural,Higher,Guatemala,US$,Food and Beverages,21.974664058
Rural,Higher,Guatemala,$PPP,Food and Beverages,32.472371717
Rural,Higher,Guatemala,Local Currency,Food and Beverages,177.071842975
Rural,Middle,Guatemala,US$,Food and Beverages,413.902276801
Rural,Middle,Guatemala,$PPP,Food and Beverages,611.631129005
Rural,Middle,Guatemala,Local Currency,Food and Beverages,3335.224546462
Rural,Lowest,Guatemala,US$,Food and Beverages,1256.375544674
Rural,Lowest,Guatemala,$PPP,Food and Beverages,1856.569620207
Rural,Lowest,Guatemala,Local Currency,Food and Beverages,10123.874138987
Rural,Low,Guatemala,US$,Food and Beverages,1937.479232234
Rural,Low,Guatemala,$PPP,Food and Beverages,2863.049267072
Rural,Low,Guatemala,Local Currency,Food and Beverages,15612.207653342
Rural,All,Guatemala,US$,Food and Beverages,3629.731717630
Rural,All,Guatemala,$PPP,Food and Beverages,5363.722387798
Rural,All,Guatemala,Local Currency,Food and Beverages,29248.378180664
Urban,Higher,Guatemala,US$,Food and Beverages,1282.873438777
Urban,Higher,Guatemala,$PPP,Food and Beverages,1895.726053487
Urban,Higher,Guatemala,Local Currency,Food and Beverages,10337.394169662
Urban,Middle,Guatemala,US$,Food and Beverages,2530.060296057
Urban,Middle,Guatemala,$PPP,Food and Beverages,3738.717378623
Urban,Middle,Guatemala,Local Currency,Food and Beverages,20387.225865630
Urban,Lowest,Guatemala,US$,Food and Beverages,305.615315433
Urban,Lowest,Guatemala,$PPP,Food and Beverages,451.613462637
Urban,Lowest,Guatemala,Local Currency,Food and Beverages,2462.648211758
Urban,Low,Guatemala,US$,Food and Beverages,2155.768869341
Urban,Low,Guatemala,$PPP,Food and Beverages,3185.619942995
Urban,Low,Guatemala,Local Currency,Food and Beverages,17371.185549151
Urban,All,Guatemala,US$,Food and Beverages,6274.317919464
Urban,All,Guatemala,$PPP,Food and Beverages,9271.676837528
Urban,All,Guatemala,Local Currency,Food and Beverages,50558.453795039
National,Higher,Guinea,US$,Food and Beverages,0
National,Higher,Guinea,$PPP,Food and Beverages,0
National,Higher,Guinea,Local Currency,Food and Beverages,0
National,Middle,Guinea,US$,Food and Beverages,32.890557068
National,Middle,Guinea,$PPP,Food and Beverages,60.028177602
National,Middle,Guinea,Local Currency,Food and Beverages,188333.665001061
National,Lowest,Guinea,US$,Food and Beverages,2132.453458744
National,Lowest,Guinea,$PPP,Food and Beverages,3891.916293340
National,Lowest,Guinea,Local Currency,Food and Beverages,12210579.9089665
National,Low,Guinea,US$,Food and Beverages,965.552383118
National,Low,Guinea,$PPP,Food and Beverages,1762.218554651
National,Low,Guinea,Local Currency,Food and Beverages,5528821.4999506
National,All,Guinea,US$,Food and Beverages,3130.896398930
National,All,Guinea,$PPP,Food and Beverages,5714.163025592
National,All,Guinea,Local Currency,Food and Beverages,17927735.0739169
Rural,Higher,Guinea,US$,Food and Beverages,0
Rural,Higher,Guinea,$PPP,Food and Beverages,0
Rural,Higher,Guinea,Local Currency,Food and Beverages,0
Rural,Middle,Guinea,US$,Food and Beverages,0
Rural,Middle,Guinea,$PPP,Food and Beverages,0
Rural,Middle,Guinea,Local Currency,Food and Beverages,0
Rural,Lowest,Guinea,US$,Food and Beverages,1536.874671450
Rural,Lowest,Guinea,$PPP,Food and Beverages,2804.932295292
Rural,Lowest,Guinea,Local Currency,Food and Beverages,8800253.48682614
Rural,Low,Guinea,US$,Food and Beverages,107.720572827
Rural,Low,Guinea,$PPP,Food and Beverages,196.599579135
Rural,Low,Guinea,Local Currency,Food and Beverages,616815.648168705
Rural,All,Guinea,US$,Food and Beverages,1644.595244277
Rural,All,Guinea,$PPP,Food and Beverages,3001.531874426
Rural,All,Guinea,Local Currency,Food and Beverages,9417069.13499407
Urban,Higher,Guinea,US$,Food and Beverages,0
Urban,Higher,Guinea,$PPP,Food and Beverages,0
Urban,Higher,Guinea,Local Currency,Food and Beverages,0
Urban,Middle,Guinea,US$,Food and Beverages,32.890557068
Urban,Middle,Guinea,$PPP,Food and Beverages,60.028177602
Urban,Middle,Guinea,Local Currency,Food and Beverages,188333.665001061
Urban,Lowest,Guinea,US$,Food and Beverages,595.578787294
Urban,Lowest,Guinea,$PPP,Food and Beverages,1086.983998048
Urban,Lowest,Guinea,Local Currency,Food and Beverages,3410326.42214102
Urban,Low,Guinea,US$,Food and Beverages,857.831810291
Urban,Low,Guinea,$PPP,Food and Beverages,1565.618975516
Urban,Low,Guinea,Local Currency,Food and Beverages,4912005.85178266
Urban,All,Guinea,US$,Food and Beverages,1486.301154653
Urban,All,Guinea,$PPP,Food and Beverages,2712.631151166
Urban,All,Guinea,Local Currency,Food and Beverages,8510665.93892356
National,Higher,Honduras,US$,Food and Beverages,76.910789432
National,Higher,Honduras,$PPP,Food and Beverages,120.880832334
National,Higher,Honduras,Local Currency,Food and Beverages,1453.229366314
National,Middle,Honduras,US$,Food and Beverages,733.502400275
National,Middle,Honduras,$PPP,Food and Beverages,1152.847101414
National,Middle,Honduras,Local Currency,Food and Beverages,13859.527853204
National,Lowest,Honduras,US$,Food and Beverages,1305.078423683
National,Lowest,Honduras,$PPP,Food and Beverages,2051.194211902
National,Lowest,Honduras,Local Currency,Food and Beverages,24659.456815492
National,Low,Honduras,US$,Food and Beverages,2302.930221178
National,Low,Honduras,$PPP,Food and Beverages,3619.519757873
National,Low,Honduras,Local Currency,Food and Beverages,43513.866529154
National,All,Honduras,US$,Food and Beverages,4418.421834495
National,All,Honduras,$PPP,Food and Beverages,6944.441903409
National,All,Honduras,Local Currency,Food and Beverages,83486.080562778
Rural,Higher,Honduras,US$,Food and Beverages,9.377451696
Rural,Higher,Honduras,$PPP,Food and Beverages,14.738558459
Rural,Higher,Honduras,Local Currency,Food and Beverages,177.186949789
Rural,Middle,Honduras,US$,Food and Beverages,111.736871602
Rural,Middle,Honduras,$PPP,Food and Beverages,175.617051149
Rural,Middle,Honduras,Local Currency,Food and Beverages,2111.268188916
Rural,Lowest,Honduras,US$,Food and Beverages,765.752092663
Rural,Lowest,Honduras,$PPP,Food and Beverages,1203.534003566
Rural,Lowest,Honduras,Local Currency,Food and Beverages,14468.885790866
Rural,Low,Honduras,US$,Food and Beverages,614.126863387
Rural,Low,Honduras,$PPP,Food and Beverages,965.224345674
Rural,Low,Honduras,Local Currency,Food and Beverages,11603.927083696
Rural,All,Honduras,US$,Food and Beverages,1500.993279282
Rural,All,Honduras,$PPP,Food and Beverages,2359.113958745
Rural,All,Honduras,Local Currency,Food and Beverages,28361.268012028
Urban,Higher,Honduras,US$,Food and Beverages,67.533337743
Urban,Higher,Honduras,$PPP,Food and Beverages,106.142273886
Urban,Higher,Honduras,Local Currency,Food and Beverages,1276.042416658
Urban,Middle,Honduras,US$,Food and Beverages,621.765528692
Urban,Middle,Honduras,$PPP,Food and Beverages,977.230050293
